row_id,cb_person_cred_hist_length,credit_score,loan_amnt,loan_int_rate,loan_intent,loan_percent_income,person_age,person_education,person_emp_exp,person_gender,person_home_ownership,person_income,previous_loan_defaults_on_file,loan_status
0001116ea56624968c4bece78b9ce31158391f26ab416fa9b5ef94a700faf93b,12,735,15000,12.42,4,0.26000000000000001,43,1,21,0,3,58391,0,1
000568fd2038668a9864cc4a8f3f2aec3e0fddee5020228f960b722aa497fe15,8,617,22612,9.7899999999999991,4,0.33000000000000002,30,3,9,1,0,69542,1,0
000a3623ed90f95c5adc962db26ab867d6a3b7ff90ada32233e9e78a77f3bd46,4,599,20000,7.4900000000000002,4,0.10000000000000001,22,1,0,1,3,193248,1,0
000caa087dd230b7b8fc873e69b53d8db61bc03abd701458e0ba6f5fd827142d,9,662,10000,5.79,0,0.16,32,1,13,0,3,63318,0,0
000e834b9890fbaecf92e9a5d19a7eafe84125b0999dbfaf180fbcbb5df3950e,5,589,8000,10.91,0,0.16,26,3,5,1,3,48938,1,0
00127c39a998566f07c0299ba7e9a83f39750ee5f5a0242eca92a1f7a1e6b6d8,9,678,15000,14.09,4,0.23000000000000001,28,2,6,1,3,66531,0,0
00129d8b2ab769e2af247c3f22b7a90782bb535b7f385399a226880b453b4520,3,634,7000,8.9399999999999995,5,0.13,22,3,0,1,0,55161,1,0
001406aea8d8f258bd813de960ad5d368ad487a12e6d643bab4bae7a35394aa5,9,699,12000,16.489999999999998,0,0.17000000000000001,29,0,7,1,3,71745,0,1
00144f68369dd37acf3f50478fe73a484a85dfa56d9709d193f91945864fb8a9,6,614,24699,11.52,5,0.089999999999999997,27,3,3,0,0,271260,1,0
00175bc513ee77d4a59b8df6bbcdb2e61ce8b710c70a43c9cc7a30deaaa2266e,7,628,3450,11.99,4,0.059999999999999998,27,0,3,1,0,54633,1,0
00184ce28b879477eb9218a349b456873857f7b29ee11a1ce6bddfbef1e4eaa2,3,652,2400,16.77,5,0.059999999999999998,22,3,0,1,3,39733,0,0
001c08d812e652a689ed45033e455725471c004e951cb8e9c48fea42ae595684,8,635,3500,7.6799999999999997,2,0.17000000000000001,28,1,6,0,3,21059,0,1
001ce5e4747f989c2269bb944e76e7b21823cb91f26310b4027252d3a8292411,9,637,7725,11.01,3,0.059999999999999998,30,3,5,1,0,126990,0,0
001f7ef154dc509178ca4b1c62d0f163318552b0dfb233c6b08a8d2b27de44ba,4,642,8428,9.3800000000000008,5,0.17000000000000001,23,3,2,1,3,48775,1,0
0021548f4aaa66f81c805122d9a29ccfe055535da9729f3c114f0a39f83785de,8,618,15000,11.83,1,0.17000000000000001,28,0,4,1,0,88495,0,0
002386c2c573bf7b02fdadabd4590d959aa2c2ae0854c75c2f937697ef0942fb,2,567,5000,12.99,1,0.050000000000000003,21,1,0,0,0,97216,1,0
0025dcd7d933f58b35b19f2d74aee8c6221823288f1db97a5411fcd1ef94d45b,2,644,5500,8.5700000000000003,2,0.080000000000000002,23,0,0,1,3,72997,1,0
0029f7439a76190ad80c14b345bf4ed7b7efe44f3cc94c2992fe5129af98fda2,3,578,7500,8.3200000000000003,1,0.14000000000000001,25,1,2,1,0,55229,1,0
002ac82117c5d6fa0fa9bdd24a6c16b43c9382d9fb651b70f0bdbf1143f47189,5,599,15000,11.24,5,0.17999999999999999,24,3,0,1,3,84921,1,0
002e0efb7901340a8cabb92ea9fcfc71bf204c8a254c0ae2b270df7a665705b3,2,596,1259,7.46,2,0.050000000000000003,22,0,0,1,0,27047,1,0
00312f04cd303c9e5b100a7dc344ceeae0eda568086af07fe17599c3482a638a,9,612,1400,15.369999999999999,4,0.029999999999999999,28,1,5,1,0,44515,0,0
0031a4a0b9baf260fd964a4f37996d1390c5a7e34aa315c187374a3bf3628e4e,3,576,2400,12.23,3,0.12,26,1,6,0,3,20638,1,0
00330bd841576314c671be8464b7b985640ba1d316cc2bc8859688576f4c27ea,7,599,9600,11.01,5,0.26000000000000001,28,1,3,0,3,37216,0,1
0038ac59be7c8a9c62a4949287166b61e75f4f87683af36a2ef7a072fe2083f1,4,659,11200,17.27,5,0.28999999999999998,25,4,5,1,3,38201,0,1
003951a79441630a2258777af3e3d2aeb54a28bd674f989e7436165c0dedb93b,7,654,14214,10.92,4,0.32000000000000001,25,0,4,0,0,44469,1,0
003cd6d7becddb9892e69c3dc9e58ee44d686cb7c477c511bfd116bb58d6071d,4,709,9600,8.4600000000000009,1,0.16,25,1,0,0,3,59812,0,1
003ed8d363a89ea2b4557818947b81c16de6cb633f2cbc3a2b1528cf71b937e3,11,578,30000,6.6200000000000001,3,0.20999999999999999,36,1,15,0,0,145274,1,0
003f77d5db494884628d21dee20284f7018c5dc0c1c509cc4cfda2405e7bb8f2,10,670,5097,11.880000000000001,4,0.070000000000000007,35,0,12,1,3,73439,1,0
003f7f8fb4352ea4ad96e17fc543774f198f31d405b77a7e2600af145744a9df,2,626,1200,7.6799999999999997,1,0.029999999999999999,23,3,0,1,0,39668,1,0
00408f88a729e8f77b7bc8e5cc30a4ebec70a7f32add36016cf74bf807d44d8b,4,704,10000,6.1699999999999999,0,0.10000000000000001,23,4,5,1,3,103216,1,0
00420f12228989917520a1355b2d6b3fa32d7108102f29fa3772532d11072929,11,680,15000,14.42,5,0.16,34,1,9,1,0,95730,0,0
00428648fc5f08c03165d7a8b8cfec64efee4662097fea03bfae57ace7d06288,3,624,16000,7.9000000000000004,1,0.19,22,1,0,0,0,82591,1,0
0047e6a8776a67a8fc88c5b62d4489361067ad7182ca03d2700a148d209d4ffd,2,636,2500,6.7599999999999998,0,0.070000000000000007,24,1,2,0,0,35909,1,0
00487245de64a043fa1adf7923561264f11d07535caec151c806d8dd63b5885b,6,668,6400,11.01,4,0.10000000000000001,34,3,10,0,0,62240,0,0
004c72e354648ef03356d2b300518428fbb49191ec45d05eeb0ecb5437f60ef6,8,692,10274,16.370000000000001,3,0.089999999999999997,28,4,7,0,0,111453,0,1
004da7e17f88fb7039e9f0d7783583d1c0c80d85e35cf113b9d37379cd5adfff,2,578,7000,7.4000000000000004,3,0.22,23,0,0,1,3,32492,1,0
004e91cc9c8d21b255dfe00621a5d4a9cf640d0abb529d51cca52f7ba821a1cc,10,651,7000,12.69,2,0.089999999999999997,28,3,6,1,3,78872,1,0
0050635ea7a2b0b518cc604703bf15096b2e9993c8023f40708327faf53eeb86,3,668,3000,11.49,3,0.070000000000000007,26,3,5,0,3,40598,0,1
005074916066bf9c298a71938cd5152a2b823e22e6846491d812d2ad7c499e21,2,678,4900,9.9900000000000002,4,0.059999999999999998,24,1,3,1,3,84777,0,0
00507f944c990d83aa403179c51ad3a2ebf761da693861b0548a09a0f8910478,4,639,15000,11.119999999999999,3,0.14999999999999999,25,0,2,0,0,96803,0,1
00509ada3435f225ef8f7b59bbb70d26e911b69b531a67a0a766330e611fe17e,2,608,3600,6.9199999999999999,5,0.080000000000000002,24,0,0,0,0,42794,0,0
0051b27e9f56ecf7f913bd994467937641df6cc78d4ed8298aca05f78c551ffd,6,547,2000,14.960000000000001,0,0.040000000000000001,28,0,7,0,3,51745,0,1
00527859654d9f01ae06f6207d63f1deb410b6ca1a3efb13ae378e8e870b8200,4,618,12000,11.69,5,0.14999999999999999,24,4,2,1,3,78696,0,0
0052cdd3d894823963123d7e402729891ee027b8a8b61b441213990b722ac6f0,9,651,15000,9.6300000000000008,1,0.10000000000000001,29,4,6,1,3,154676,0,1
005365b78ec7f944efdb2c94e613a93614efbc3c0f73d1c40f9d24a431e1ee86,11,610,9391,11.300000000000001,3,0.12,37,1,13,1,0,76720,0,1
0054452d13b4d3dad95d8b65659af701f4382fdd6c6be2811e78ed51150e03aa,2,640,6000,13.220000000000001,1,0.16,22,0,2,1,3,38663,1,0
0054b958dcf13e6a37eda0f5dc2c9f58c94c50579bcdd57c70dab137591d8624,2,589,8000,13.220000000000001,0,0.13,23,1,0,1,3,63361,1,0
0054db176541e6170b64e876506909630b8857d942c99dc3282531201bfeab59,9,634,5000,9.6300000000000008,4,0.089999999999999997,34,3,11,0,0,55090,1,0
005567c0ffdc04219119b70faf651bf3dbc2bacc39beff47a67ee339ae64876d,2,660,2000,14.720000000000001,1,0.050000000000000003,23,4,0,1,3,40728,1,0
0059b81842142d4f30bed2457313314923d59732bb1f067c58e89d511923da17,9,663,3000,13.98,3,0.040000000000000001,30,3,6,1,3,85369,1,0
005ac65fa4e3c95effc07b683135e3d0f05bdd00f919d1cb8881af8b34ca98ca,4,578,16200,11.01,4,0.16,24,1,3,1,0,104292,0,0
005dfc3b8441690d0c6ffb1f2b073583822de34812269d3766ef50d93fce502f,7,632,35000,18.640000000000001,1,0.11,27,0,1,1,3,310859,0,1
005f29d5a237cdaec0d78b4a77c0cc688a9c0ea581459997727c834f5b0a0dbd,3,565,6000,7.4900000000000002,3,0.11,24,1,5,0,3,54859,1,0
00613288fb0ef9611afcbd75cb8564d3f450bae8f2bf0e33013d421a72ed366b,3,657,10000,11.01,2,0.17999999999999999,24,3,3,0,2,55119,0,0
00618d884a8ae0cc277f0aae7a61193a123ba43cb9caec01d5e9f36f983319c9,4,658,6000,7.5099999999999998,4,0.080000000000000002,21,1,0,1,0,75284,1,0
006215985a38bbec7138aa6d1bb991e13c8ec2f682ab83131b3fbefccb337b6c,6,503,8000,16.489999999999998,2,0.14999999999999999,33,3,11,0,0,55079,0,1
0067d496970fbaeb050dc8c08503dda17ce8de23272d2d919353665566e73368,5,649,4800,12.210000000000001,3,0.059999999999999998,27,1,4,0,3,82221,1,0
00686164cc3f179c59d03a043e46340340fe40a6477b0365ee8dd851772ced0a,13,718,5000,11.49,5,0.029999999999999999,45,0,23,1,0,143857,1,0
00690651c913ae72ff5f6f00f7d86f82045113e5fcbcba2f3dcc5f5ca39eea80,2,638,10000,16.489999999999998,1,0.28000000000000003,22,3,2,1,2,35969,1,0
006b02f99c0dfdc3dd1531712cf4cc6b89ef52ec435d969f5cf2897803aecd58,9,697,18000,13.48,0,0.16,27,4,4,0,0,114835,1,0
006b5f344435a69383ab5ed6615a33d55fc0f30e53c9c1ef47a5b7e2784498ce,8,675,35000,11.01,0,0.10000000000000001,27,0,5,1,0,361226,1,0
006c36e98aafc8033cf6cf8b7e17702ac3ee1b7332aba8f9b0ab7b30de77af5c,9,668,20000,13.92,2,0.19,28,1,4,0,3,103033,1,0
006fba093fb47c3765fb730110775ec3f54f33788ec48d35ce2ca78b7648c169,4,615,10000,16.890000000000001,5,0.17999999999999999,26,1,6,0,0,55102,1,0
00727cc627f6ca498f21deab0cb9a76ae93c28b1857bbd86167073bc2b1a2a0f,9,675,8000,15.380000000000001,3,0.14999999999999999,30,1,7,0,0,55086,0,0
0073aea9084559ba6aff0e275ec18a2ff4a9cc0923772334af7bb69764563f64,3,636,10000,10.99,3,0.16,23,3,5,1,0,61017,0,0
00748cbbbaccedf3eb3da8ece3789e24e62577c1662244dffaab9c9ea757c661,5,685,6000,7.0199999999999996,3,0.10000000000000001,27,1,7,0,3,62625,0,0
00758f7d740d26c9bf0cdf78eb7746c2dee8e9c86d81674cb559a338cca70c2b,3,520,5000,10.949999999999999,3,0.050000000000000003,23,0,0,0,0,102828,1,0
0075973b5d416c97a303877c76e0a718085440ff88aeafefab6f702665395173,2,671,7000,6.54,4,0.080000000000000002,23,3,1,0,3,91921,0,0
00776618edcfdc0e6830451886c8e796cebd4ec1710225cf2e2bcede3238d4d3,4,684,7600,11.119999999999999,3,0.14999999999999999,25,3,5,1,3,50983,0,0
0079ed3d853607180547a3017d27a92bf6ce4df8f75bad6a782dae186d6936c0,5,589,15000,14.35,0,0.16,27,0,6,1,3,90950,1,0
007bb86b714e7214d564c4be23b0afd464f3307d7d79ebf2a7cb148370b68c4b,6,630,5000,11.01,1,0.040000000000000001,32,1,9,0,0,136743,1,0
007c00343dd9ef05522f7a0cd21d185a9fa66be7f71a17a07f88289d6f4ba3c8,9,654,2400,11.01,3,0.050000000000000003,31,0,7,0,3,49043,1,0
0080f015320568a6b946e83b5b01412c4709fcc024dea4617467cf80e0e23ad2,6,687,5000,14.27,4,0.040000000000000001,29,0,5,0,0,135052,0,0
00822b8b9f134d119e1888ee32a29d400a95ce0209a6d9db7337befaa0ea7db1,2,607,1000,5.4199999999999999,4,0.02,24,1,0,0,2,61364,1,0
008334e67d75b61899b094fa832199ea0d58a231dc057f48cf28255b50221cb2,9,576,12000,8.5600000000000005,5,0.17000000000000001,30,4,11,1,0,68826,0,0
008395e127edab272b00f49c48ccdd9c2431384756509c69cb602611a251cc37,3,612,10000,5.9900000000000002,1,0.23000000000000001,24,3,3,0,3,44080,1,0
0083f12ee07a73bf8f9b6a8f465a4d6352439d964f7a23916d48c3454082b9a9,13,646,23500,11.06,1,0.48999999999999999,34,3,10,0,3,47692,0,1
008458fe4beab313bcecee571c45440dfc1c648c55686a737d68c2a331f3abd4,3,513,15000,12.630000000000001,1,0.16,24,0,0,0,0,92397,0,1
008565443e84af96ce7e094c0f38b77981674702bddf618c1ee235d4e61b9d27,4,528,5851,11.4,3,0.080000000000000002,24,0,0,1,0,68848,0,1
008bd356feeda10f9aaac07b4a56b38476b46b9a3543f901a4a81dd6baeaae0c,4,634,13500,9.9900000000000002,1,0.14999999999999999,24,0,0,1,0,92794,0,0
008e651c299d783643781bff4cec20be66f31e47633d18b97591a400995e8ab3,4,670,12000,10.369999999999999,5,0.13,26,4,7,0,3,90906,0,0
008e7e67e5a97635c9153b6877f1386cf722b27b2889a34417c31dfacd0e81c7,3,630,9000,12.59,4,0.14999999999999999,26,4,3,1,3,58280,0,0
